Threshold (τ),Precision,Recall,F1-Score,Total Executions,False Positives
0.1,0.2667,0.9429,0.4158,1361,998
0.15,0.3493,0.9273,0.5075,1022,665
0.2,0.419,0.9143,0.5747,840,488
0.25,0.4787,0.9065,0.6266,729,380
0.3,0.5312,0.9065,0.6699,657,308
0.35,0.5805,0.8987,0.7054,596,250
0.4,0.6279,0.8987,0.7393,551,205
0.45,0.6495,0.8857,0.7495,525,184
0.5,0.668,0.8831,0.7606,509,169
0.55,0.6906,0.8753,0.7721,488,151
0.6,0.705,0.8753,0.781,478,141
0.65,0.7211,0.8597,0.7844,459,128
0.7,0.7336,0.8442,0.785,443,118
0.75,0.75,0.826,0.7862,424,106
0.8,0.7687,0.8026,0.7853,402,93
0.85,0.7978,0.7584,0.7776,366,74
0.9,0.8129,0.7221,0.7648,342,64
0.95,0.8612,0.7091,0.7778,317,44
