Feature,Gain
RRP_Lag1,1434.01904296875
Constraint_Unit_Zero_-_FCAS_Lag1,24.741682052612305
Weekday,24.517976760864258
time_cos,21.9444522857666
Constraint_Other_Med_Lag1,19.460433959960938
Constraint_Voltage_Stability_Lag1,19.34046173095703
Constraint_Negative_Residue_Lag1,18.79450798034668
Constraint_Thermal_Lag1,17.159442901611328
Constraint_DEFAULT_Lag1,16.894668579101562
Constraint_FCAS_Lag1,16.42472267150879
Constraint_System_Strength_Lag1,16.2823429107666
Constraint_Other_High_Lag1,16.056303024291992
Constraint_Other_Low_Lag1,15.720251083374023
Constraint_Other_Super_High_Lag1,14.538945198059082
Constraint_Discretionary_Lag1,14.326703071594238
time_sin,14.0477933883667
Constraint_Islanding_-_Unit_Lag1,12.069028854370117
Constraint_Transient_Stability_Lag1,10.967738151550293
Constraint_Oscillatory_Stability_Lag1,9.579058647155762
Constraint_Ramping_Lag1,9.563364028930664
Constraint_ROC_Frequency_Lag1,8.351959228515625
Constraint_Unit_Zero_Lag1,7.862712860107422
Constraint_Network_Support_Lag1,6.125636100769043
Constraint_Non-Conformance_Lag1,6.120501518249512
Constraint_Region_Separation_Lag1,3.045646905899048
Constraint_Ramp_Rate_Lag1,2.3588905334472656
