Threshold (τ),Precision,Recall,F1-Score,Total Executions,False Positives
0.1,0.4715,0.9276,0.6252,3644,1926
0.15,0.6074,0.9023,0.726,2751,1080
0.2,0.6626,0.8844,0.7576,2472,834
0.25,0.6963,0.8753,0.7756,2328,707
0.3,0.7186,0.8672,0.7859,2235,629
0.35,0.74,0.8591,0.7951,2150,559
0.4,0.7612,0.8537,0.8048,2077,496
0.45,0.7739,0.8467,0.8087,2026,458
0.5,0.7867,0.8445,0.8146,1988,424
0.55,0.7977,0.8391,0.8179,1948,394
0.6,0.8054,0.8359,0.8203,1922,374
0.65,0.812,0.8256,0.8187,1883,354
0.7,0.819,0.8159,0.8174,1845,334
0.75,0.8245,0.8116,0.818,1823,320
0.8,0.8304,0.7986,0.8142,1781,302
0.85,0.8536,0.7684,0.8088,1667,244
0.9,0.8886,0.7279,0.8002,1517,169
0.95,0.9176,0.649,0.7603,1310,108
