Threshold (τ),Precision,Recall,F1-Score,Total Executions,False Positives
0.1,0.3286,0.9662,0.4904,1132,760
0.15,0.4123,0.9584,0.5766,895,526
0.2,0.4906,0.9506,0.6472,746,380
0.25,0.5406,0.9506,0.6893,677,311
0.3,0.5759,0.9455,0.7158,632,268
0.35,0.6116,0.9325,0.7387,587,228
0.4,0.6427,0.9299,0.7601,557,199
0.45,0.666,0.9273,0.7752,536,179
0.5,0.6893,0.9221,0.7889,515,160
0.55,0.7074,0.9169,0.7986,499,146
0.6,0.7198,0.9143,0.8055,489,137
0.65,0.7222,0.9117,0.806,486,135
0.7,0.7362,0.8987,0.8094,470,124
0.75,0.7456,0.8831,0.8086,456,116
0.8,0.7613,0.8779,0.8154,444,106
0.85,0.7886,0.8623,0.8238,421,89
0.9,0.8095,0.839,0.824,399,76
0.95,0.8462,0.8,0.8224,364,56
