Threshold (τ),Precision,Recall,F1-Score,Total Executions,False Positives
0.1,0.3151,0.9403,0.472,1149,787
0.15,0.3919,0.9325,0.5519,916,557
0.2,0.4597,0.9325,0.6158,781,422
0.25,0.5181,0.9273,0.6648,689,332
0.3,0.5669,0.9247,0.7029,628,272
0.35,0.6048,0.9221,0.7305,587,232
0.4,0.6531,0.9195,0.7638,542,188
0.45,0.6823,0.9091,0.7795,513,163
0.5,0.7045,0.9039,0.7918,494,146
0.55,0.716,0.9039,0.7991,486,138
0.6,0.7304,0.8935,0.8037,471,127
0.65,0.7412,0.8779,0.8038,456,118
0.7,0.7591,0.8675,0.8097,440,106
0.75,0.7676,0.8494,0.8064,426,99
0.8,0.7716,0.8338,0.8015,416,95
0.85,0.7884,0.813,0.8005,397,84
0.9,0.8223,0.8052,0.8136,377,67
0.95,0.858,0.7532,0.8022,338,48
